Date,Open,High,Low,Close,Volume
2020-12-07,214.3699951171875,215.5399932861328,212.99000549316406,214.2899932861328,24620000
2020-12-08,213.97000122070312,216.9499969482422,212.88999938964844,216.00999450683594,23284100
2020-12-09,215.16000366210938,215.22999572753906,211.2100067138672,211.8000030517578,32440600
2020-12-10,211.77000427246094,213.0800018310547,210.36000061035156,210.52000427246094,26733300
2020-12-11,210.0500030517578,213.32000732421875,209.11000061035156,213.25999450683594,30979400
2020-12-14,213.10000610351562,216.2100067138672,212.8800048828125,214.1999969482422,28798400
2020-12-15,215.1699981689453,215.4199981689453,212.24000549316406,214.1300048828125,27000600
2020-12-16,214.75,220.11000061035156,214.72000122070312,219.27999877929688,35023300
2020-12-17,219.8699951171875,220.88999938964844,217.9199981689453,219.4199981689453,32515800
2020-12-18,218.58999633789062,219.69000244140625,216.02000427246094,218.58999633789062,63354900
2020-12-21,217.5500030517578,224.0,217.27999877929688,222.58999633789062,37181900
2020-12-22,222.69000244140625,225.6300048828125,221.85000610351562,223.94000244140625,22612200
2020-12-23,223.11000061035156,223.55999755859375,220.8000030517578,221.02000427246094,18699600
2020-12-24,221.4199981689453,223.61000061035156,221.1999969482422,222.75,10550600
2020-12-28,224.4499969482422,226.02999877929688,223.02000427246094,224.9600067138672,17933500
2020-12-29,226.30999755859375,227.17999267578125,223.5800018310547,224.14999389648438,17403200
2020-12-30,225.22999572753906,225.6300048828125,221.47000122070312,221.67999267578125,20272300
2020-12-31,221.6999969482422,223.0,219.67999267578125,222.4199981689453,20942100
2021-01-04,222.52999877929688,223.0,214.80999755859375,217.69000244140625,37130100
2021-01-05,217.25999450683594,218.52000427246094,215.6999969482422,217.89999389648438,23823000
2021-01-06,212.1699981689453,216.49000549316406,211.94000244140625,212.25,35930700
2021-01-07,214.0399932861328,219.33999633789062,213.7100067138672,218.2899932861328,27694500
2021-01-08,218.67999267578125,220.5800018310547,217.02999877929688,219.6199951171875,22956200
2021-01-11,218.47000122070312,218.91000366210938,216.72999572753906,217.49000549316406,23031300
2021-01-12,216.5,217.10000610351562,213.32000732421875,214.92999267578125,23249300
2021-01-13,214.02000427246094,216.75999450683594,213.92999267578125,216.33999633789062,20087100
2021-01-14,215.91000366210938,217.4600067138672,212.74000549316406,213.02000427246094,29480800
2021-01-15,213.52000427246094,214.50999450683594,212.02999877929688,212.64999389648438,31746500
2021-01-19,213.75,216.97999572753906,212.6300048828125,216.44000244140625,30480900
2021-01-20,217.6999969482422,225.7899932861328,217.2899932861328,224.33999633789062,37777300
2021-01-21,224.6999969482422,226.3000030517578,222.4199981689453,224.97000122070312,30709400
2021-01-22,227.0800018310547,230.07000732421875,225.8000030517578,225.9499969482422,30172700
2021-01-25,229.1199951171875,229.77999877929688,224.22000122070312,229.52999877929688,33152100
2021-01-26,231.86000061035156,234.17999267578125,230.0800018310547,232.3300018310547,49169600
2021-01-27,238.0,240.44000244140625,230.13999938964844,232.89999389648438,69870600
2021-01-28,235.61000061035156,242.63999938964844,235.08999633789062,238.92999267578125,49111200
2021-01-29,235.99000549316406,238.02000427246094,231.35000610351562,231.9600067138672,42503100
